concept,ticket_id,title,type,status
WinForms,T1285512,Supply Additional Logon Parameters article doesn't consider Middle-Tier scenario,InvalidInfo,Closed
Web API Service,T1320997,Queryable Mode - invalid and outdated info,InvalidInfo,Closed
Web API Service,T1320766,Add a New .NET XAF Module to an XAF Application | XAF: Cross-Platform .NET App UI & Web API | DevExp,NewFeatureIssue,Active
Web API Service,T1319820,Mail Merge - missing crucial XAF Blazor details,InsuffInfo,Closed
Web API Service,T1318737,How to: Choose the Optimal Query Splitting Behavior in Entity Framework Core | XAF: Cross-Platform .,UnusableFeedback,Closed
Web API Service,T1318183,XPO Extensions for ASP.NET Core Dependency Injection | XPO (.NET ORM Library) | DevExpress Documenta,UnusableFeedback,Closed
Web API Service,T1317879,You have a new 'GitHub Examples  User Feedback' response.,PositiveFeedback,Closed
Web API Service,T1317180,How to: Perform CRUD Operations with Non-Persistent Objects | XAF: Cross-Platform .NET App UI & Web ,InsuffCode,Closed
Web API Service,T1317104,"When is the function ""UpdateDatabaseAfterUpdateSchema"" invoked",InsuffInfo,Closed
Web API Service,T1317092,Add and Replace Icons | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,InsuffInfo,Archived
Web API Service,T1316089,"Incorrect code for the ""Type Properties in XPO"" help topic",InvalidCode,Closed
Web API Service,T1315984,'Update Database Schema and Migrations in EF Core' has invalid info about Automatic Updates,InvalidInfo,Closed
Web API Service,T1315302,Need to rewrite code in the TreeList - Flat data source help topic,InsuffCode,Closed
Web API Service,T1314301,Detrimental information - Calculate a Property Value Based on Values from a Detail Collection,HardToUnderstand,Closed
Web API Service,T1313595,"Describe why  ""unsafe-inline"" in CSP is required in XAF Blazor Apps",InsuffInfo,Archived
Web API Service,T1311731,Custom EasyTest Commands | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,InsuffCode,Archived
Web API Service,T1310514,Obsolete information about CreateDefaultObjectSpaceProvider,InvalidInfo,Closed
Web API Service,T1309586,Improve BlazorControlViewItem help topic,HardToUnderstand,Archived
Web API Service,T1309006,Format a Property Value | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,UnusableFeedback,Closed
Web API Service,T1306647,Use the Security System - missing essential DbSets,InsuffInfo,Closed
Web API Service,T1305694,Create a Calculated Property | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,InvalidInfo,Closed
Web API Service,T1304752,How to: Display a List View With Data From a Stored Procedure From the Navigation | XAF: Cross-Platf,InvalidCode,Closed
Web API Service,T1303785,View Variants (Switch Document Layouts) | XAF: Cross-Platform .NET App UI & Web API | DevExpress Doc,UnusableFeedback,Closed
Web API Service,T1303625,Display a Tree List using the ITreeNode Interface | XAF: Cross-Platform .NET App UI & Web API | DevE,InvalidCode,Archived
Web API Service,T1300308,Missing info about contradiction between Template Localization and Satellite Assemblies (Localizatio,InsuffInfo,Archived
Web API Service,T1296694,ModelValidationRulesNodeGenerator Class | XAF: Cross-Platform .NET App UI & Web API | DevExpress Doc,InvalidInfo,Closed
Web API Service,T1295602,Soft Deletion (Deferred Object Deletion) | XAF: Cross-Platform .NET App UI & Web API | DevExpress Do,InsuffCode,Closed
Web API Service,T1289372,ModificationsCheckingMode  + new item row limitiation,InsuffInfo,Closed
Web API Service,T1285906,OAuth and Custom Authentication - a crucial aspect is not emphasized,InsuffInfo,Archived
Web API Service,T1285512,Supply Additional Logon Parameters article doesn't consider Middle-Tier scenario,InvalidInfo,Closed
Entity Framework Core,T1320997,Queryable Mode - invalid and outdated info,InvalidInfo,Closed
Entity Framework Core,T1320766,Add a New .NET XAF Module to an XAF Application | XAF: Cross-Platform .NET App UI & Web API | DevExp,NewFeatureIssue,Active
Entity Framework Core,T1319820,Mail Merge - missing crucial XAF Blazor details,InsuffInfo,Closed
Entity Framework Core,T1319293,Incorrect info about Standalone Model Editor in Blazor,InvalidInfo,Closed
Entity Framework Core,T1318737,How to: Choose the Optimal Query Splitting Behavior in Entity Framework Core | XAF: Cross-Platform .,UnusableFeedback,Closed
Entity Framework Core,T1318183,XPO Extensions for ASP.NET Core Dependency Injection | XPO (.NET ORM Library) | DevExpress Documenta,UnusableFeedback,Closed
Entity Framework Core,T1317879,You have a new 'GitHub Examples  User Feedback' response.,PositiveFeedback,Closed
Entity Framework Core,T1317180,How to: Perform CRUD Operations with Non-Persistent Objects | XAF: Cross-Platform .NET App UI & Web ,InsuffCode,Closed
Entity Framework Core,T1317104,"When is the function ""UpdateDatabaseAfterUpdateSchema"" invoked",InsuffInfo,Closed
Entity Framework Core,T1317092,Add and Replace Icons | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,InsuffInfo,Archived
Entity Framework Core,T1316089,"Incorrect code for the ""Type Properties in XPO"" help topic",InvalidCode,Closed
Entity Framework Core,T1315984,'Update Database Schema and Migrations in EF Core' has invalid info about Automatic Updates,InvalidInfo,Closed
Entity Framework Core,T1315302,Need to rewrite code in the TreeList - Flat data source help topic,InsuffCode,Closed
Entity Framework Core,T1314393,You have a new 'GitHub Examples  User Feedback' response.,UnusableFeedback,Closed
Entity Framework Core,T1314301,Detrimental information - Calculate a Property Value Based on Values from a Detail Collection,HardToUnderstand,Closed
Entity Framework Core,T1313736,Incorrect class name for TagBoxListPropertyEditor,InvalidInfo,Closed
Entity Framework Core,T1310514,Obsolete information about CreateDefaultObjectSpaceProvider,InvalidInfo,Closed
Entity Framework Core,T1309586,Improve BlazorControlViewItem help topic,HardToUnderstand,Archived
Entity Framework Core,T1309299,Readme of the 'sequential generator' example is outdated,NewFeatureIssue,Archived
Entity Framework Core,T1309006,Format a Property Value | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,UnusableFeedback,Closed
Entity Framework Core,T1306647,Use the Security System - missing essential DbSets,InsuffInfo,Closed
Entity Framework Core,T1305694,Create a Calculated Property | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,InvalidInfo,Closed
Entity Framework Core,T1304752,How to: Display a List View With Data From a Stored Procedure From the Navigation | XAF: Cross-Platf,InvalidCode,Closed
Entity Framework Core,T1303625,Display a Tree List using the ITreeNode Interface | XAF: Cross-Platform .NET App UI & Web API | DevE,InvalidCode,Archived
Entity Framework Core,T1300308,Missing info about contradiction between Template Localization and Satellite Assemblies (Localizatio,InsuffInfo,Archived
Entity Framework Core,T1296694,ModelValidationRulesNodeGenerator Class | XAF: Cross-Platform .NET App UI & Web API | DevExpress Doc,InvalidInfo,Closed
Entity Framework Core,T1295602,Soft Deletion (Deferred Object Deletion) | XAF: Cross-Platform .NET App UI & Web API | DevExpress Do,InsuffCode,Closed
Entity Framework Core,T1293448,Describe new XAF0033 warning,NewFeatureIssue,Closed
Entity Framework Core,T1289372,ModificationsCheckingMode  + new item row limitiation,InsuffInfo,Closed
Entity Framework Core,T1285906,OAuth and Custom Authentication - a crucial aspect is not emphasized,InsuffInfo,Archived
Entity Framework Core,T1285512,Supply Additional Logon Parameters article doesn't consider Middle-Tier scenario,InvalidInfo,Closed
Entity Framework Core,T1283433,[S ] Key Properties - EF Core string key property,InsuffInfo,Archived
Entity Framework Core,T1280629,"Outdated info in the ""DxGridListEditor Class"" help topic",InvalidInfo,Closed
Entity Framework Core,T1280134,Help topic misses links to XPO examples,InsuffInfo,Closed
Entity Framework Core,T1279094,[S 3] A missing example of using CustomCreateObjectSpaceProvider ,InsuffCode,Archived
XPO,T1320997,Queryable Mode - invalid and outdated info,InvalidInfo,Closed
XPO,T1320766,Add a New .NET XAF Module to an XAF Application | XAF: Cross-Platform .NET App UI & Web API | DevExp,NewFeatureIssue,Active
XPO,T1319820,Mail Merge - missing crucial XAF Blazor details,InsuffInfo,Closed
XPO,T1319293,Incorrect info about Standalone Model Editor in Blazor,InvalidInfo,Closed
XPO,T1318737,How to: Choose the Optimal Query Splitting Behavior in Entity Framework Core | XAF: Cross-Platform .,UnusableFeedback,Closed
XPO,T1318183,XPO Extensions for ASP.NET Core Dependency Injection | XPO (.NET ORM Library) | DevExpress Documenta,UnusableFeedback,Closed
XPO,T1317879,You have a new 'GitHub Examples  User Feedback' response.,PositiveFeedback,Closed
XPO,T1317180,How to: Perform CRUD Operations with Non-Persistent Objects | XAF: Cross-Platform .NET App UI & Web ,InsuffCode,Closed
XPO,T1317104,"When is the function ""UpdateDatabaseAfterUpdateSchema"" invoked",InsuffInfo,Closed
XPO,T1317092,Add and Replace Icons | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,InsuffInfo,Archived
XPO,T1316089,"Incorrect code for the ""Type Properties in XPO"" help topic",InvalidCode,Closed
XPO,T1315984,'Update Database Schema and Migrations in EF Core' has invalid info about Automatic Updates,InvalidInfo,Closed
XPO,T1315302,Need to rewrite code in the TreeList - Flat data source help topic,InsuffCode,Closed
XPO,T1314393,You have a new 'GitHub Examples  User Feedback' response.,UnusableFeedback,Closed
XPO,T1314301,Detrimental information - Calculate a Property Value Based on Values from a Detail Collection,HardToUnderstand,Closed
XPO,T1313736,Incorrect class name for TagBoxListPropertyEditor,InvalidInfo,Closed
