doc_id,section_id,is_api,platforms,connections,concepts
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-add-a-custom-column-to-the-reports-list,how-to-add-a-custom-column-to-the-reports-list::7,False,[],26,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-add-a-custom-column-to-the-reports-list,how-to-add-a-custom-column-to-the-reports-list::8,False,[],24,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-add-a-custom-column-to-the-reports-list,how-to-add-a-custom-column-to-the-reports-list::9,False,[],30,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-add-a-custom-column-to-the-reports-list,how-to-add-a-custom-column-to-the-reports-list::10,False,[],26,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-add-a-custom-column-to-the-reports-list,how-to-add-a-custom-column-to-the-reports-list::11,False,[],35,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-add-a-custom-column-to-the-reports-list,how-to-add-a-custom-column-to-the-reports-list::12,False,[],22,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-add-a-custom-column-to-the-reports-list,how-to-add-a-custom-column-to-the-reports-list::13,False,[],19,['Application Model' 'Model Editor' 'Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-add-a-custom-column-to-the-reports-list,how-to-add-a-custom-column-to-the-reports-list::14,False,[],28,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-customize-the-winforms-report-designer-form,how-to-customize-the-winforms-report-designer-form::1,False,[],28,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-customize-the-winforms-report-designer-form,how-to-customize-the-winforms-report-designer-form::2,False,[],29,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-customize-the-winforms-report-designer-form,how-to-customize-the-winforms-report-designer-form::3,False,[],36,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-merge-the-pages-of-two-reports,how-to-merge-the-pages-of-two-reports::2,False,[],19,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-print-a-report-without-displaying-a-preview,how-to-print-a-report-without-displaying-a-preview::2,False,[],36,['Report Parameters' 'Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-specify-the-default-name-for-user-defined-reports,how-to-specify-the-default-name-for-user-defined-reports::1,False,[],10,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-use-the-custom-report-preview-form,how-to-use-the-custom-report-preview-form::1,False,[],28,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-use-the-custom-winforms-report-designer,how-to-use-the-custom-winforms-report-designer::1,False,[],36,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-use-the-custom-winforms-report-designer,how-to-use-the-custom-winforms-report-designer::2,False,[],34,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-use-the-subreport-control-with-reports-v2-data-sources,how-to-use-the-subreport-control-with-reports-v2-data-sources::2,False,[],15,['Reports']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-use-the-subreport-control-with-reports-v2-data-sources,how-to-use-the-subreport-control-with-reports-v2-data-sources::3,False,[],21,['Reports']
data/raw_md/articles/getting-started/in-depth-tutorial-blazor/enable-additional-modules/create-a-report-in-visual-studio,create-a-report-in-visual-studio::2,False,[],40,['Package Management' 'Reports' 'Reports V2']
data/raw_md/articles/getting-started/in-depth-tutorial-blazor/enable-additional-modules/create-a-report-in-visual-studio,create-a-report-in-visual-studio::4,False,[],67,['Reports' 'Reports V2' 'Template Kit' 'XAF Application']
