source_doc,source_section,source_is_api,source_concepts,target_doc,target_section,target_is_api,target_concepts,similarity,priority_score,is_cross_corpus,max_tickets,pair_type,similarity_band
data/raw_md/apidoc/DevExpress.ExpressApp.Editors/PropertyEditor/DisplayFormat1131127,DisplayFormat1131127::1,True,"['Application Model' 'Model Editor' 'Property Editor Features'
 'Property Editors' 'View Items' 'Views']",data/raw_md/articles/ui-construction/view-items-and-property-editors/property-editors/supply-predefined-values-for-the-string-property-editor-dynamically/supply-predefined-values-winforms,supply-predefined-values-winforms::6,False,['Application Model' 'Model Editor' 'Property Editors' 'WinForms'],0.7035424113273621,2.110627233982086,True,2772,ac,0.70-0.75
data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.SystemModule/IModelActionDesignRibbonMapping/ActionToRibbonMapping,ActionToRibbonMapping::1,True,['Application Model' 'Blazor'],data/raw_md/articles/ui-construction/templates/blazor-application-templates,blazor-application-templates::3,False,['Application Templates' 'Blazor' 'Windows'],0.70352703332901,2.11058109998703,True,484,ac,0.70-0.75
data/raw_md/articles/ui-construction/templates/blazor-application-templates,blazor-application-templates::3,False,['Application Templates' 'Blazor' 'Windows'],data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.SystemModule/IModelActionDesignRibbonMapping/ActionToRibbonMapping,ActionToRibbonMapping::1,True,['Application Model' 'Blazor'],0.70352703332901,2.11058109998703,True,484,ca,0.70-0.75
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2/ReportServiceController/ReportServiceController,ReportServiceController::1,True,['Reports' 'WinForms' 'Windows'],data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-use-the-custom-winforms-report-designer,how-to-use-the-custom-winforms-report-designer::1,False,['Controller Types' 'Controllers' 'Reports' 'View Controller' 'WinForms'],0.7034845352172852,2.1104536056518555,True,1144,ac,0.70-0.75
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-use-the-custom-winforms-report-designer,how-to-use-the-custom-winforms-report-designer::1,False,['Controller Types' 'Controllers' 'Reports' 'View Controller' 'WinForms'],data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2/ReportServiceController/ReportServiceController,ReportServiceController::1,True,['Reports' 'WinForms' 'Windows'],0.7034845352172852,2.1104536056518555,True,1144,ca,0.70-0.75
data/raw_md/apidoc/DevExpress.ExpressApp.Editors/ListEditor/ListEditor,ListEditor::2,True,"['Business Object' 'Context Menus' 'Entity Framework Core' 'List Editors'
 'List View' 'List View Data Access Modes' 'View Types' 'Views' 'WinForms']",data/raw_md/articles/ui-construction/view-items-and-property-editors/how-to-show-a-custom-data-bound-control-in-an-xaf-view/how-to-show-a-custom-data-bound-control-in-an-xaf-view-winforms,how-to-show-a-custom-data-bound-control-in-an-xaf-view-winforms::6,False,"['Application Model' 'Dashboard View' 'Detail View' 'Layout'
 'Layout Runtime Customization' 'Model Editor' 'View Items' 'View Types'
 'Views' 'WinForms']",0.7034809589385986,2.110442876815796,True,2772,ac,0.70-0.75
data/raw_md/articles/ui-construction/view-items-and-property-editors/how-to-show-a-custom-data-bound-control-in-an-xaf-view/how-to-show-a-custom-data-bound-control-in-an-xaf-view-winforms,how-to-show-a-custom-data-bound-control-in-an-xaf-view-winforms::6,False,"['Application Model' 'Dashboard View' 'Detail View' 'Layout'
 'Layout Runtime Customization' 'Model Editor' 'View Items' 'View Types'
 'Views' 'WinForms']",data/raw_md/apidoc/DevExpress.ExpressApp.Editors/ListEditor/ListEditor,ListEditor::2,True,"['Business Object' 'Context Menus' 'Entity Framework Core' 'List Editors'
 'List View' 'List View Data Access Modes' 'View Types' 'Views' 'WinForms']",0.7034809589385986,2.110442876815796,True,2772,ca,0.70-0.75
data/raw_md/apidoc/DevExpress.ExpressApp/Controller/Controller,Controller::3,True,"['.NET Runtime' 'Blazor' 'Built-in Controllers' 'Controller Customization'
 'Controllers' 'WinForms' 'Windows']",data/raw_md/articles/ui-construction/controllers-and-actions/customize-controllers-and-actions,customize-controllers-and-actions::2,False,['Actions' 'Built-in Controllers' 'Controllers'],0.7034772038459778,2.1104316115379333,True,1144,ac,0.70-0.75
data/raw_md/articles/ui-construction/controllers-and-actions/customize-controllers-and-actions,customize-controllers-and-actions::2,False,['Actions' 'Built-in Controllers' 'Controllers'],data/raw_md/apidoc/DevExpress.ExpressApp/Controller/Controller,Controller::3,True,"['.NET Runtime' 'Blazor' 'Built-in Controllers' 'Controller Customization'
 'Controllers' 'WinForms' 'Windows']",0.7034772038459778,2.1104316115379333,True,1144,ca,0.70-0.75
data/raw_md/apidoc/DevExpress.Persistent.Validation/RuleStringComparisonAttribute/#ctor1131113,#ctor1131113::1,True,['Application Model' 'Validation'],data/raw_md/articles/validation/trigger-validation-programmatically-customize-default-rule-behavior,trigger-validation-programmatically-customize-default-rule-behavior::8,False,['Validation'],0.7034740447998047,2.110422134399414,True,484,ac,0.70-0.75
data/raw_md/articles/localization/how-to-localize-custom-string-constants,how-to-localize-custom-string-constants::7,False,['Application Model' 'Model Editor'],data/raw_md/apidoc/DevExpress.ExpressApp/ModuleBase/ResourcesExportedToModel1131268,ResourcesExportedToModel1131268::1,True,['Application Model'],0.7034637331962585,2.1103911995887756,True,484,ca,0.70-0.75
data/raw_md/apidoc/DevExpress.ExpressApp/ModuleBase/ResourcesExportedToModel1131268,ResourcesExportedToModel1131268::1,True,['Application Model'],data/raw_md/articles/localization/how-to-localize-custom-string-constants,how-to-localize-custom-string-constants::7,False,['Application Model' 'Model Editor'],0.7034637331962585,2.1103911995887756,True,484,ac,0.70-0.75
data/raw_md/apidoc/DevExpress.ExpressApp.TreeListEditors.Win/TreeListEditor/#ctor1132966,#ctor1132966::1,True,['Application Model' 'List View' 'View Types' 'Views'],data/raw_md/articles/app-shell-and-base-infrastructure/tree-list-editors/tree-list-editors-module-overview,tree-list-editors-module-overview::3,False,"['.NET Runtime' 'Blazor' 'Business Object' 'Business Objects'
 'List Editors' 'Object Relationships' 'WinForms' 'Windows']",0.7034544348716736,2.1103633046150208,True,2772,ac,0.70-0.75
data/raw_md/articles/app-shell-and-base-infrastructure/tree-list-editors/tree-list-editors-module-overview,tree-list-editors-module-overview::3,False,"['.NET Runtime' 'Blazor' 'Business Object' 'Business Objects'
 'List Editors' 'Object Relationships' 'WinForms' 'Windows']",data/raw_md/apidoc/DevExpress.ExpressApp.TreeListEditors.Win/TreeListEditor/#ctor1132966,#ctor1132966::1,True,['Application Model' 'List View' 'View Types' 'Views'],0.7034544348716736,2.1103633046150208,True,2772,ca,0.70-0.75
data/raw_md/apidoc/DevExpress.ExpressApp.Win/ShowInSingleWindowStrategy/#ctor1131444,#ctor1131444::1,True,['WinForms' 'Windows'],data/raw_md/articles/ui-construction/views/ways-to-show-a-view/how-to-show-a-custom-window-with-an-embedded-xaf-view,how-to-show-a-custom-window-with-an-embedded-xaf-view::2,False,['View Items' 'View Lifecycle' 'Views' 'WinForms'],0.7034508585929871,2.110352575778961,True,2772,ac,0.70-0.75
