doc_id,title,doc_type,word_count,uid
data/raw_md/apidoc/DevExpress.Persistent.Validation/ValidationOutcome/Valid1137361,Valid1137361,Field,0,DevExpress.Persistent.Validation.ValidationOutcome.Valid
data/raw_md/apidoc/DevExpress.Persistent.Validation/ValidationOutcome/Warning1137362,Warning1137362,Field,0,DevExpress.Persistent.Validation.ValidationOutcome.Warning
data/raw_md/apidoc/DevExpress.Persistent.Validation/ValidationResultType/Error1137355,Error1137355,Field,0,DevExpress.Persistent.Validation.ValidationResultType.Error
data/raw_md/apidoc/DevExpress.Persistent.Validation/ValidationResultType/Information1137356,Information1137356,Field,0,DevExpress.Persistent.Validation.ValidationResultType.Information
data/raw_md/apidoc/DevExpress.Persistent.Validation/ValidationResultType/Warning1137357,Warning1137357,Field,0,DevExpress.Persistent.Validation.ValidationResultType.Warning
data/raw_md/apidoc/DevExpress.Persistent.Validation/ValidationState/Invalid1132633,Invalid1132633,Field,0,DevExpress.Persistent.Validation.ValidationState.Invalid
data/raw_md/apidoc/DevExpress.Persistent.Validation/ValidationState/Skipped1132634,Skipped1132634,Field,0,DevExpress.Persistent.Validation.ValidationState.Skipped
data/raw_md/apidoc/DevExpress.Persistent.Validation/ValidationState/Valid1132635,Valid1132635,Field,0,DevExpress.Persistent.Validation.ValidationState.Valid
data/raw_md/apidoc/DevExpress.Persistent.Validation/ValueComparisonType/Equals1132762,Equals1132762,Field,0,DevExpress.Persistent.Validation.ValueComparisonType.Equals
data/raw_md/apidoc/DevExpress.Persistent.Validation/ValueComparisonType/GreaterThan1132763,GreaterThan1132763,Field,0,DevExpress.Persistent.Validation.ValueComparisonType.GreaterThan
data/raw_md/apidoc/DevExpress.Persistent.Validation/ValueComparisonType/GreaterThanOrEqual1132764,GreaterThanOrEqual1132764,Field,0,DevExpress.Persistent.Validation.ValueComparisonType.GreaterThanOrEqual
data/raw_md/apidoc/DevExpress.Persistent.Validation/ValueComparisonType/LessThan1132765,LessThan1132765,Field,0,DevExpress.Persistent.Validation.ValueComparisonType.LessThan
data/raw_md/apidoc/DevExpress.Persistent.Validation/ValueComparisonType/LessThanOrEqual1132766,LessThanOrEqual1132766,Field,0,DevExpress.Persistent.Validation.ValueComparisonType.LessThanOrEqual
