doc_id,title,section_id,matched,is_api,kept,concepts,platforms,apis,h_path,snippet
data/raw_md/articles/ui-construction/controllers-and-actions/actions/how-to-add-a-search-action-to-lookup-property-editors-and-link-pop-up-windows,How to: Add a Search Action to Lookup Property Editors and Link Pop-up Windows,how-to-add-a-search-action-to-lookup-property-editors-and-link-pop-up-windows::5,LookupEditorMode,False,True,"Application Model, Lookup Property Editors, Model Editor, Property Editor Types, Property Editors, Reference Property, Windows",,,,"In the Model Editor, set the LookupEditorMode property of the BOModel | <Class> | OwnMembers | <Member> node to the required value."
data/raw_md/articles/business-model-design-orm/data-types-supported-by-built-in-editors/reference-foreign-key-complex-type-properties,"Reference (Foreign Key, Complex Type) Properties",reference-foreign-key-complex-type-properties::18,LookupEditorMode,False,True,".NET Runtime, Blazor, Business Object, Business Objects, Lookup Property Editors, Object Relationships, Property Editor Types, Property Editors, Reference Property, WinForms",,,,"its data source.The following values are available: @DevExpress.Persistent.Base.LookupEditorMode.Auto, @DevExpress.Persistent.Base.LookupEditorMode.AllItems, @DevExpress.Persistent.Base.LookupEditorMode.Search, and @DevE"
data/raw_md/apidoc/DevExpress.Persistent.Base/LookupEditorModeAttribute/LookupEditorModeAttribute,C#,LookupEditorModeAttribute::1,LookupEditorMode,True,True,"Business Object, List View, Lookup Property Editors, Property Editor Types, Property Editors, Reference Property, View Types, Views",,,,uid: DevExpress.Persistent.Base.LookupEditorModeAttributename: LookupEditorModeAttributetype: Classsummary: Specifies the mode of the target business class property's Lookup Property Editor.syntax:content: 'public class
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/FilterController/CustomGetFullTextSearchProperties1131560,CustomGetFullTextSearchProperties1131560,CustomGetFullTextSearchProperties1131560::1,LookupEditorMode,True,True,"Application Model, List View, Lookup Property Editors, Model Editor, Property Editor Types, Property Editors, Reference Property, View Types, Views",,,,"ch mode, use either of the following approaches: Specify the IModelClass.DefaultLookupEditorMode option in Model Editor. Apply a LookupEditorModeAttribute to the property."
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/LinkUnlinkController/LinkAction1130881,C#,LinkAction1130881::1,LookupEditorMode,True,True,".NET Runtime, Action Containers, Actions, Application Model, Blazor, Collection Property, Collection Property Editors, Criteria, List View, Lookup Property Editors, Model Editor, Property Editor Types, Property Editors, Reference Property, View Types, Views, WinForms, Windows",,,,"ue of the  attribute's mode parameter is set for the IModelCommonMemberViewItem.LookupEditorMode property of the BOModel | <Class> | OwnMembers | <Member> node, corresponding to the current collection property. For detai"
data/raw_md/apidoc/DevExpress.ExpressApp.Model/IModelClass/DefaultLookupEditorMode1133120,DefaultLookupEditorMode1133120,DefaultLookupEditorMode1133120::1,LookupEditorMode,True,True,"Business Objects, Lookup Property Editors, Object Relationships, Property Editor Types, Property Editors, Reference Property",,,,"By default, this property is set to the LookupEditorMode.Auto."
data/raw_md/apidoc/DevExpress.ExpressApp/CollectionSourceBase/CollectionSourceBase,CollectionSourceBase,CollectionSourceBase::1,LookupEditorMode,True,True,"Criteria, List View, Lookup Property Editors, Property Editor Types, Property Editors, Reference Property, View Types, Views",,,,"s List View. The returned value is considered if the IModelCommonMemberViewItem.LookupEditorMode property of the BOModel | <Class> | OwnMembers | <Member> node that corresponds to the property being edited, is set to Aut"
