doc_id,section_id,is_api,platforms,connections,concepts
data/raw_md/articles/ui-construction/view-items-and-property-editors/property-editors/use-criteria-property-editors,use-criteria-property-editors::5,False,[],54,"['.NET Runtime' 'Blazor' 'Business Logic' 'Business Object' 'Criteria'
 'Entity Framework Core' 'List View' 'Non-persistent Object'
 'Property Editors' 'View Types' 'Views' 'WinForms' 'Windows' 'XPO']"
data/raw_md/articles/ui-construction/view-items-and-property-editors/property-editors/use-criteria-property-editors,use-criteria-property-editors::6,False,[],34,"['.NET Runtime' 'Blazor' 'Business Object' 'Controller Types'
 'Controllers' 'Criteria' 'Entity Framework Core' 'List View'
 'Property Editors' 'View Controller' 'View Types' 'Views' 'WinForms'
 'Windows']"
data/raw_md/articles/ui-construction/controllers-and-actions/actions/how-to-customize-action-controls,how-to-customize-action-controls::5,False,[],11,"['Action Containers' 'Actions' 'Criteria' 'Property Editor Features'
 'Property Editors']"
data/raw_md/articles/ui-construction/controllers-and-actions/built-in-controllers-and-actions/built-in-controllers-and-actions-in-the-system-module,built-in-controllers-and-actions-in-the-system-module::16,False,[],26,"['.NET Runtime' 'Actions' 'Application Model' 'Blazor' 'Built-in Actions'
 'Built-in Controllers' 'Controllers' 'Criteria' 'List View' 'View Types'
 'Views' 'WinForms' 'Windows']"
data/raw_md/articles/ui-construction/application-model-ui-settings-storage/model-editor/enhanced-editors,enhanced-editors::4,False,[],9,['Criteria' 'Property Editors']
data/raw_md/articles/shape-export-print-data/printing-exporting-in-list-view/exporting,exporting::2,False,[],45,"['.NET Runtime' 'Blazor' 'Criteria' 'List Editors' 'List View' 'PivotGrid'
 'Scheduler' 'View Types' 'Views' 'WinForms' 'Windows']"
data/raw_md/articles/shape-export-print-data/reports/in-place-reports,in-place-reports::1,False,[],32,"['.NET Runtime' 'Application Model' 'Blazor' 'Business Object' 'Criteria'
 'Detail View' 'List View' 'Reports' 'Reports V2' 'View Types' 'Views'
 'WinForms' 'Windows' 'XAF Application']"
data/raw_md/articles/shape-export-print-data/reports/invoke-the-report-preview-from-code,invoke-the-report-preview-from-code::2,False,[],17,['Criteria' 'XPO']
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-print-a-report-without-displaying-a-preview,how-to-print-a-report-without-displaying-a-preview::6,False,[],23,"['Controller Customization' 'Controllers' 'Criteria'
 'Entity Framework Core' 'Web API Service' 'XPO']"
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-use-the-custom-report-preview-form,how-to-use-the-custom-report-preview-form::3,False,[],10,['Criteria']
data/raw_md/articles/getting-started/in-depth-tutorial-blazor/customize-data-display-and-view-layout/change-list-view-filters,change-list-view-filters::2,False,[],25,"['.NET Runtime' 'Application Model' 'Blazor' 'Context Menus' 'Criteria'
 'List View' 'Model Editor' 'View Types' 'Views' 'WinForms' 'Windows']"
data/raw_md/articles/getting-started/in-depth-tutorial-blazor/customize-data-display-and-view-layout/change-list-view-filters,change-list-view-filters::3,False,[],27,"['.NET Runtime' 'Application Model' 'Blazor' 'Criteria' 'List View'
 'Model Editor' 'View Types' 'Views' 'WinForms' 'Windows']"
data/raw_md/articles/getting-started/in-depth-tutorial-blazor/enable-additional-modules/highlight-list-view-objects,highlight-list-view-objects::1,False,[],4,['Conditional Appearance' 'Criteria' 'Property Editors']
