api_name,namespace,api_type,num_sections
GetKeyValue,DevExpress.ExpressApp.CompositeObjectSpace,method,1
GetObjectKey,DevExpress.ExpressApp.CompositeObjectSpace,method,1
GetObjectsQuery,DevExpress.ExpressApp.CompositeObjectSpace,method,1
Application,DevExpress.ExpressApp.CreateCustomTemplateEventArgs,class,1
_membersaltText,DevExpress.ExpressApp.CreateCustomTemplateEventArgs,class,1
GetTopReturnedObjectsCount,DevExpress.ExpressApp.CompositeObjectSpace,method,1
SetTopReturnedObjectsCount,DevExpress.ExpressApp.CompositeObjectSpace,method,1
_membersaltText,DevExpress.ExpressApp.CustomizeTemplateEventArgs,class,1
_membersaltText,DevExpress.ExpressApp.CustomizeLanguageEventArgs,class,1
SetAllowRemove,DevExpress.ExpressApp.CollectionSourceBase,method,1
CanApplyCriteria,DevExpress.ExpressApp.CompositeObjectSpace,class,1
CanApplyFilter,DevExpress.ExpressApp.CompositeObjectSpace,class,1
CanInstantiate,DevExpress.ExpressApp.CompositeObjectSpace,class,1
SetTopReturnedObjectsCount,DevExpress.ExpressApp.BaseObjectSpace,method,1
ServiceProvider,DevExpress.ExpressApp.BaseObjectSpace,class,1
syntax,DevExpress.ExpressApp.DynamicCollection,method,1
CopyTo,DevExpress.ExpressApp.DynamicCollectionBase,class,1
_membersaltText,DevExpress.ExpressApp.DynamicCollectionBase,class,1
IndexOf,DevExpress.ExpressApp.DynamicCollectionBase,class,1
RemoveAt,DevExpress.ExpressApp.DynamicCollectionBase,method,1
Dispose,DevExpress.ExpressApp.Frame,class,1
Insert,DevExpress.ExpressApp.DynamicCollectionBase,class,1
Item,DevExpress.ExpressApp.DynamicCollectionBase,class,1
Disposing,DevExpress.ExpressApp.Frame,class,1
Disposed,DevExpress.ExpressApp.Frame,class,1
Tag,DevExpress.ExpressApp.Frame,class,1
FrameworkSettings,DevExpress.ExpressApp,class,1
GetObjectRecordByKey,DevExpress.ExpressApp.IObjectRecordSupport,method,1
_membersaltText,DevExpress.ExpressApp.FrameworkSettings,class,1
Connected,DevExpress.ExpressApp.IObjectSpace,class,1
GetObjectRecordByObject,DevExpress.ExpressApp.IObjectRecordSupport,method,1
GetKeyValueAsString,DevExpress.ExpressApp.IObjectSpace,method,1
GetObjectByHandle,DevExpress.ExpressApp.IObjectSpace,method,1
ObjectHandleHelper,DevExpress.ExpressApp,class,1
GetObjectHandle,DevExpress.ExpressApp.IObjectSpace,method,1
GetObjectKey,DevExpress.ExpressApp.IObjectSpace,method,1
IsDisposedObject,DevExpress.ExpressApp.IObjectSpace,class,1
IsKnown,DevExpress.ExpressApp.IObjectSpace,class,1
ObjectDeleted,DevExpress.ExpressApp.IObjectSpace,class,1
ObjectDeleting,DevExpress.ExpressApp.IObjectSpace,class,1
ObjectEndEdit,DevExpress.ExpressApp.IObjectSpace,class,1
CompatibilityError,DevExpress.ExpressApp.DatabaseVersionMismatchEventArgs,class,1
_membersaltText,DevExpress.ExpressApp.DatabaseVersionMismatchEventArgs,class,1
Add,DevExpress.ExpressApp.DynamicCollectionBase,method,1
Contains,DevExpress.ExpressApp.DynamicCollectionBase,class,1
AllowRemove,DevExpress.ExpressApp.CollectionSourceBase,class,1
GetCount,DevExpress.ExpressApp.CollectionSourceBase,method,1
_membersaltText,DevExpress.ExpressApp.ISettingsProvider,class,1
ISettingsProvider,DevExpress.ExpressApp,interface,1
PreFetchAsync,DevExpress.ExpressApp.IObjectSpaceAsync,class,1
LoadAsync,DevExpress.ExpressApp.IObjectSpaceAsync,class,1
ServiceProvider,DevExpress.ExpressApp.IObjectSpace,class,1
