source_doc,source_section,source_is_api,source_concepts,target_doc,target_section,target_is_api,target_concepts,similarity,priority_score,is_cross_corpus,max_tickets
data/raw_md/apidoc/DevExpress.EasyTest.Framework/IEasyTestAction/Enabled,Enabled::2,True,['Blazor'],data/raw_md/articles/debugging-testing-and-error-handling/functional-tests-easy-test/write-tests-csharp-vb/create-custom-commands,create-custom-commands::3,False,['Blazor' 'Testing' 'Windows'],0.8552230000495911,2.565669000148773,True,414
data/raw_md/apidoc/DevExpress.EasyTest.Framework/IEasyTestDialog/Message,Message::2,True,['Blazor'],data/raw_md/articles/debugging-testing-and-error-handling/functional-tests-easy-test/write-tests-csharp-vb/create-custom-commands,create-custom-commands::3,False,['Blazor' 'Testing' 'Windows'],0.8552230000495911,2.565669000148773,True,414
data/raw_md/apidoc/DevExpress.EasyTest.Framework/IEasyTestGridSelection/UnselectRows,UnselectRows::2,True,['Blazor'],data/raw_md/articles/debugging-testing-and-error-handling/functional-tests-easy-test/write-tests-csharp-vb/create-custom-commands,create-custom-commands::3,False,['Blazor' 'Testing' 'Windows'],0.8552230000495911,2.565669000148773,True,414
data/raw_md/articles/debugging-testing-and-error-handling/functional-tests-easy-test/write-tests-csharp-vb/create-custom-commands,create-custom-commands::3,False,['Blazor' 'Testing' 'Windows'],data/raw_md/apidoc/DevExpress.EasyTest.Framework/IEasyTestGridSelection/GetSelectedRows,GetSelectedRows::2,True,['Blazor'],0.8552230000495911,2.565669000148773,True,414
data/raw_md/articles/debugging-testing-and-error-handling/functional-tests-easy-test/write-tests-csharp-vb/create-custom-commands,create-custom-commands::3,False,['Blazor' 'Testing' 'Windows'],data/raw_md/apidoc/DevExpress.EasyTest.Framework/IEasyTestGridSorting/SortByColumn,SortByColumn::2,True,['Blazor'],0.8552230000495911,2.565669000148773,True,414
data/raw_md/articles/debugging-testing-and-error-handling/functional-tests-easy-test/write-tests-csharp-vb/create-custom-commands,create-custom-commands::3,False,['Blazor' 'Testing' 'Windows'],data/raw_md/apidoc/DevExpress.EasyTest.Framework/IEasyTestValidation/GetValidationHeader,GetValidationHeader::2,True,['Blazor'],0.8552230000495911,2.565669000148773,True,414
data/raw_md/articles/debugging-testing-and-error-handling/functional-tests-easy-test/write-tests-csharp-vb/create-custom-commands,create-custom-commands::3,False,['Blazor' 'Testing' 'Windows'],data/raw_md/apidoc/DevExpress.EasyTest.Framework/IEasyTestGrid/GetRow,GetRow::2,True,['Blazor'],0.8552230000495911,2.565669000148773,True,414
data/raw_md/articles/debugging-testing-and-error-handling/functional-tests-easy-test/write-tests-csharp-vb/create-custom-commands,create-custom-commands::3,False,['Blazor' 'Testing' 'Windows'],data/raw_md/apidoc/DevExpress.EasyTest.Framework/IEasyTestGrid/GetRows,GetRows::2,True,['Blazor'],0.8552230000495911,2.565669000148773,True,414
data/raw_md/apidoc/DevExpress.EasyTest.Framework/IEasyTestAction/Execute,Execute::2,True,['Blazor'],data/raw_md/articles/debugging-testing-and-error-handling/functional-tests-easy-test/write-tests-csharp-vb/create-custom-commands,create-custom-commands::3,False,['Blazor' 'Testing' 'Windows'],0.8552230000495911,2.565669000148773,True,414
data/raw_md/apidoc/DevExpress.EasyTest.Framework/IEasyTestAction/Hint,Hint::2,True,['Blazor'],data/raw_md/articles/debugging-testing-and-error-handling/functional-tests-easy-test/write-tests-csharp-vb/create-custom-commands,create-custom-commands::3,False,['Blazor' 'Testing' 'Windows'],0.8552230000495911,2.565669000148773,True,414
data/raw_md/apidoc/DevExpress.EasyTest.Framework/IEasyTestForm/ExecuteEditorAction,ExecuteEditorAction::2,True,['Blazor'],data/raw_md/articles/debugging-testing-and-error-handling/functional-tests-easy-test/write-tests-csharp-vb/create-custom-commands,create-custom-commands::3,False,['Blazor' 'Testing' 'Windows'],0.8552230000495911,2.565669000148773,True,414
data/raw_md/apidoc/DevExpress.EasyTest.Framework/IEasyTestGrid/RowExists,RowExists::2,True,['Blazor'],data/raw_md/articles/debugging-testing-and-error-handling/functional-tests-easy-test/write-tests-csharp-vb/create-custom-commands,create-custom-commands::3,False,['Blazor' 'Testing' 'Windows'],0.8552230000495911,2.565669000148773,True,414
data/raw_md/articles/debugging-testing-and-error-handling/functional-tests-easy-test/write-tests-csharp-vb/create-custom-commands,create-custom-commands::3,False,['Blazor' 'Testing' 'Windows'],data/raw_md/apidoc/DevExpress.EasyTest.Framework/IEasyTestGrid/GetRowCount,GetRowCount::2,True,['Blazor'],0.8552230000495911,2.565669000148773,True,414
data/raw_md/articles/debugging-testing-and-error-handling/functional-tests-easy-test/write-tests-csharp-vb/create-custom-commands,create-custom-commands::3,False,['Blazor' 'Testing' 'Windows'],data/raw_md/apidoc/DevExpress.EasyTest.Framework/IEasyTestGrid/GetRowIndex,GetRowIndex::2,True,['Blazor'],0.8552230000495911,2.565669000148773,True,414
data/raw_md/articles/debugging-testing-and-error-handling/functional-tests-easy-test/write-tests-csharp-vb/create-custom-commands,create-custom-commands::3,False,['Blazor' 'Testing' 'Windows'],data/raw_md/apidoc/DevExpress.EasyTest.Framework/IEasyTestGridSelection/UnselectRows,UnselectRows::2,True,['Blazor'],0.8552230000495911,2.565669000148773,True,414
