source_doc,source_section,source_is_api,source_concepts,target_doc,target_section,target_is_api,target_concepts,similarity,priority_score,is_cross_corpus,max_tickets
data/raw_md/articles/business-model-design-orm/business-model-design-with-entity-framework-core/optimistic-locking,optimistic-locking::7,False,['Entity Framework Core' 'Optimistic Locking'],data/raw_md/apidoc/DevExpress.ExpressApp.DC/OptimisticLockAttribute/OptimisticLockHandling,OptimisticLockHandling::1,True,['Entity Framework Core' 'Optimistic Locking' 'XAF Application'],0.8424669504165649,2.527400851249695,True,470
data/raw_md/apidoc/DevExpress.ExpressApp.DC/OptimisticLockAttribute/OptimisticLockHandling,OptimisticLockHandling::1,True,['Entity Framework Core' 'Optimistic Locking' 'XAF Application'],data/raw_md/articles/business-model-design-orm/business-model-design-with-entity-framework-core/optimistic-locking,optimistic-locking::7,False,['Entity Framework Core' 'Optimistic Locking'],0.8424669504165649,2.527400851249695,True,470
data/raw_md/articles/localization/localize-an-xaf-application-net-framework,localize-an-xaf-application-net-framework::2,False,"['Application Model' 'Loading Indicators' 'Model Editor' 'Web API Service'
 'WinForms' 'Windows' 'XAF Application']",data/raw_md/apidoc/DevExpress.ExpressApp/XafApplication/ResourcesExportedToModel1131243,ResourcesExportedToModel1131243::2,True,['Application Model' 'Model Editor'],0.8412115573883057,2.523634672164917,True,484
data/raw_md/apidoc/DevExpress.ExpressApp/XafApplication/ResourcesExportedToModel1131243,ResourcesExportedToModel1131243::2,True,['Application Model' 'Model Editor'],data/raw_md/articles/localization/localize-an-xaf-application-net-framework,localize-an-xaf-application-net-framework::2,False,"['Application Model' 'Loading Indicators' 'Model Editor' 'Web API Service'
 'WinForms' 'Windows' 'XAF Application']",0.8412115573883057,2.523634672164917,True,484
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2.Win/WinReportServiceController/CustomShowDesignForm1137483,CustomShowDesignForm1137483::2,True,['Windows'],data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-customize-the-winforms-report-designer-form,how-to-customize-the-winforms-report-designer-form::3,False,['Reports' 'WinForms'],0.8403378129005432,2.5210134387016296,True,435
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-customize-the-winforms-report-designer-form,how-to-customize-the-winforms-report-designer-form::3,False,['Reports' 'WinForms'],data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2.Win/WinReportServiceController/CustomShowDesignForm1137483,CustomShowDesignForm1137483::2,True,['Windows'],0.8403378129005432,2.5210134387016296,True,435
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/IModelListViewShowFindPanel/ShowFindPanel,ShowFindPanel::1,True,"['.NET Runtime' 'Application Model' 'Blazor' 'List Editors' 'Model Editor'
 'WinForms' 'Windows']",data/raw_md/articles/filtering/in-list-view/how-to-filter-list-views-on-the-ui-specific-level,how-to-filter-list-views-on-the-ui-specific-level::10,False,['Business Object' 'List View' 'View Types' 'Views'],0.8403230905532837,2.520969271659851,True,2772
data/raw_md/articles/filtering/in-list-view/how-to-filter-list-views-on-the-ui-specific-level,how-to-filter-list-views-on-the-ui-specific-level::10,False,['Business Object' 'List View' 'View Types' 'Views'],data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/IModelListViewShowFindPanel/ShowFindPanel,ShowFindPanel::1,True,"['.NET Runtime' 'Application Model' 'Blazor' 'List Editors' 'Model Editor'
 'WinForms' 'Windows']",0.8403230905532837,2.520969271659851,True,2772
data/raw_md/articles/shape-export-print-data/printing-exporting-in-list-view/how-to-customize-the-export-action-behavior,how-to-customize-the-export-action-behavior::4,False,"['.NET Runtime' 'Action State Management' 'Actions' 'Blazor' 'List View'
 'View Types' 'Views' 'WinForms']",data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ExportController/CustomGetDefaultFileName1136177,CustomGetDefaultFileName1136177::1,True,['Action State Management' 'Actions' 'List View' 'View Types' 'Views'],0.8399709463119507,2.519912838935852,True,2772
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ExportController/CustomGetDefaultFileName1136177,CustomGetDefaultFileName1136177::1,True,['Action State Management' 'Actions' 'List View' 'View Types' 'Views'],data/raw_md/articles/shape-export-print-data/printing-exporting-in-list-view/how-to-customize-the-export-action-behavior,how-to-customize-the-export-action-behavior::4,False,"['.NET Runtime' 'Action State Management' 'Actions' 'Blazor' 'List View'
 'View Types' 'Views' 'WinForms']",0.8399709463119507,2.519912838935852,True,2772
data/raw_md/apidoc/DevExpress.ExpressApp/XafApplication/Setup1130419,Setup1130419::1,True,['Database Connection' 'Entity Framework Core' 'Object Space Provider'],data/raw_md/articles/debugging-testing-and-error-handling/code-diagnostics/xaf0012,xaf0012::1,False,[],0.8396949768066406,2.519084930419922,True,470
data/raw_md/articles/debugging-testing-and-error-handling/code-diagnostics/xaf0012,xaf0012::1,False,[],data/raw_md/apidoc/DevExpress.ExpressApp/XafApplication/Setup1130419,Setup1130419::1,True,['Database Connection' 'Entity Framework Core' 'Object Space Provider'],0.8396949768066406,2.519084930419922,True,470
data/raw_md/articles/business-model-design-orm/connect-an-xaf-application-to-a-database-provider,connect-an-xaf-application-to-a-database-provider::3,False,"['.NET Runtime' 'Blazor' 'Database Connection' 'Entity Framework Core'
 'WinForms' 'XAF Application']",data/raw_md/apidoc/DevExpress.ExpressApp/XafApplication/ConnectionString1130235,ConnectionString1130235::1,True,"['Database Connection' 'Entity Framework Core' 'Middle Tier'
 'Template Kit' 'WinForms' 'XAF Application']",0.8394179940223694,2.518253982067108,True,470
data/raw_md/apidoc/DevExpress.ExpressApp/XafApplication/ConnectionString1130235,ConnectionString1130235::1,True,"['Database Connection' 'Entity Framework Core' 'Middle Tier'
 'Template Kit' 'WinForms' 'XAF Application']",data/raw_md/articles/business-model-design-orm/connect-an-xaf-application-to-a-database-provider,connect-an-xaf-application-to-a-database-provider::3,False,"['.NET Runtime' 'Blazor' 'Database Connection' 'Entity Framework Core'
 'WinForms' 'XAF Application']",0.8394179940223694,2.518253982067108,True,470
data/raw_md/articles/shape-export-print-data/reports/data-sources-for-reports-v2,data-sources-for-reports-v2::2,False,"['Business Object' 'Entity Framework Core' 'Performance Optimization'
 'Property Editors' 'Reports V2']",data/raw_md/apidoc/DevExpress.Persistent.Base.ReportsV2/CollectionDataSource/CollectionDataSource,CollectionDataSource::1,True,['Performance Optimization' 'Property Editors' 'Reports' 'Reports V2'],0.8392834067344666,2.5178502202033997,True,1634
data/raw_md/apidoc/DevExpress.Persistent.Base.ReportsV2/CollectionDataSource/CollectionDataSource,CollectionDataSource::1,True,['Performance Optimization' 'Property Editors' 'Reports' 'Reports V2'],data/raw_md/articles/shape-export-print-data/reports/data-sources-for-reports-v2,data-sources-for-reports-v2::2,False,"['Business Object' 'Entity Framework Core' 'Performance Optimization'
 'Property Editors' 'Reports V2']",0.8392834067344666,2.5178502202033997,True,1634
data/raw_md/articles/app-shell-and-base-infrastructure/navigation-system,navigation-system::1,False,['List View' 'View Items' 'View Types' 'Views'],data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ShowNavigationItemController/ShowNavigationItemController,ShowNavigationItemController::1,True,"['.NET Runtime' 'Application Model' 'Blazor' 'List View' 'Lookup View'
 'Model Editor' 'View Items' 'View Types' 'Views' 'WinForms' 'Windows']",0.8387917876243591,2.5163753628730774,True,2772
data/raw_md/apidoc/DevExpress.ExpressApp.SystemModule/ShowNavigationItemController/ShowNavigationItemController,ShowNavigationItemController::1,True,"['.NET Runtime' 'Application Model' 'Blazor' 'List View' 'Lookup View'
 'Model Editor' 'View Items' 'View Types' 'Views' 'WinForms' 'Windows']",data/raw_md/articles/app-shell-and-base-infrastructure/navigation-system,navigation-system::1,False,['List View' 'View Items' 'View Types' 'Views'],0.8387917876243591,2.5163753628730774,True,2772
