source_doc,source_section,source_title,source_is_api,target_doc,target_section,target_title,target_is_api,neighbor_type,sim_score,gates_passed,overlap_concepts,overlap_platforms,overlap_apis,namespace_overlap
data/raw_md/apidoc/DevExpress.ExpressApp.Model/IModelClass/DefaultLookupEditorMode1133120,DefaultLookupEditorMode1133120::1,DefaultLookupEditorMode1133120,True,data/raw_md/articles/business-model-design-orm/data-types-supported-by-built-in-editors/reference-foreign-key-complex-type-properties,reference-foreign-key-complex-type-properties::18,"Reference (Foreign Key, Complex Type) Properties",False,"ac,ca",0.6889199614524841,concept_overlap,"Business Objects, Lookup Property Editors, Object Relationships, Property Editor Types, Property Editors, Reference Property",,,False
data/raw_md/apidoc/DevExpress.Persistent.Base/LookupEditorModeAttribute/LookupEditorModeAttribute,LookupEditorModeAttribute::1,C#,True,data/raw_md/articles/business-model-design-orm/data-types-supported-by-built-in-editors/reference-foreign-key-complex-type-properties,reference-foreign-key-complex-type-properties::18,"Reference (Foreign Key, Complex Type) Properties",False,"ac,ca",0.7676246762275696,concept_overlap,"Business Object, Lookup Property Editors, Property Editor Types, Property Editors, Reference Property",,,False
data/raw_md/articles/business-model-design-orm/data-types-supported-by-built-in-editors/reference-foreign-key-complex-type-properties,reference-foreign-key-complex-type-properties::18,"Reference (Foreign Key, Complex Type) Properties",False,data/raw_md/articles/ui-construction/controllers-and-actions/actions/how-to-add-a-search-action-to-lookup-property-editors-and-link-pop-up-windows,how-to-add-a-search-action-to-lookup-property-editors-and-link-pop-up-windows::5,How to: Add a Search Action to Lookup Property Editors and Link Pop-up Windows,False,cc,0.6094428896903992,concept_overlap,"Lookup Property Editors, Property Editor Types, Property Editors, Reference Property",,,False
