doc_id,keywords,keyword_count,has_deployment_tag,current_concepts,namespaces,apis
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/WinEFCoreMultiTenancyApplicationBuilderExtensions/AddMultiTenancy,applicationbuilder,1,False,"Business Objects, Entity Framework Core, Tenant, WinForms",,"DevExpress.ExpressApp.ApplicationBuilder.WinEFCoreMultiTenancyApplicationBuilderExtensions.AddMultiTenancy, DevExpress.ExpressApp.MultiTenancy.EFCore.IMultiTenancyApplicationBuilderdescription, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/WinEFCoreMultiTenancyApplicationBuilderExtensions/WinEFCoreMultiTenancyApplicationBuilderExtensions,applicationbuilder,1,False,"Business Objects, Entity Framework Core, Tenant, WinForms",,"DevExpress.ExpressApp.ApplicationBuilder.WinEFCoreMultiTenancyApplicationBuilderExtensions._membersaltText, DevExpress.ExpressApp.ApplicationBuilder.WinEFCoreMultiTenancyApplicationBuilderExtensionsname, Entity Framework Core"
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/WinXpoMultiTenancyApplicationBuilderExtensions/AddMultiTenancy,applicationbuilder,1,False,"Tenant, WinForms, XPO",,"DevExpress.ExpressApp.ApplicationBuilder.WinXpoMultiTenancyApplicationBuilderExtensions.AddMultiTenancy, DevExpress.ExpressApp.MultiTenancy.Xpo.IMultiTenancyApplicationBuilderdescription, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/WinXpoMultiTenancyApplicationBuilderExtensions/WinXpoMultiTenancyApplicationBuilderExtensions,applicationbuilder,1,False,"Tenant, WinForms, XPO",,"DevExpress.ExpressApp.ApplicationBuilder.WinXpoMultiTenancyApplicationBuilderExtensions._membersaltText, DevExpress.ExpressApp.ApplicationBuilder.WinXpoMultiTenancyApplicationBuilderExtensionsname, XPO"
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/XPObjectSpaceProviderBuilderExtensions/AddXpo``1,applicationbuilder,1,False,"Actions, Object Space, WinForms, XPO",,"DevExpress.ExpressApp.ApplicationBuilder.IObjectSpaceProviderBuilder, DevExpress.ExpressApp.ApplicationBuilder.XPObjectSpaceProviderBuilderExtensions.AddXpo0, DevExpress.ExpressApp.ApplicationBuilder.XPObjectSpaceProviderOptions"
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/XPObjectSpaceProviderBuilderExtensions/AddXpo``1,applicationbuilder,1,False,,,"DevExpress.ExpressApp.ApplicationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/XPObjectSpaceProviderBuilderExtensions/AddXpo``1_1,applicationbuilder,1,False,".NET Runtime, Actions, Blazor UI, Object Space, XPO",,"DevExpress.ExpressApp.ApplicationBuilder.IObjectSpaceProviderServiceBasedBuilder, DevExpress.ExpressApp.ApplicationBuilder.XPObjectSpaceProviderBuilderExtensions.AddXpo0, DevExpress.ExpressApp.ApplicationBuilder.XPObjectSpaceProviderOptions"
data/raw_md/apidoc/DevExpress.ExpressApp.ApplicationBuilder/XPObjectSpaceProviderBuilderExtensions/AddXpo``1_1,applicationbuilder,1,False,Blazor UI,,"DevExpress.ExpressApp.ApplicationBuilder, DevExpress.ExpressApp.Blazor.ApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/MiddleTierAuthenticationBuilderExtensions/AddWindowsAuthentication,applicationbuilder,1,False,"Authentication, Security System",,"DevExpress.ExpressApp.Win.ApplicationBuilder.IMiddleTierAuthenticationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder.IMiddleTierAuthenticationBuilderdescription, DevExpress.ExpressApp.Win.ApplicationBuilder.MiddleTierAuthenticationBuilderExtensions.AddWindowsAuthentication"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/MiddleTierAuthenticationBuilderExtensions/UsePasswordAuthentication,applicationbuilder,1,False,"Actions, Authentication, Security System",,"DevExpress.ExpressApp.ApplicationBuilder.MiddleTierPasswordAuthenticationOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.IMiddleTierAuthenticationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder.IMiddleTierAuthenticationBuilderdescription"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/MiddleTierAuthenticationBuilderExtensions/UsePasswordAuthentication,applicationbuilder,1,False,,,"DevExpress.ExpressApp.ApplicationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/MiddleTierAuthenticationBuilderExtensions/UseWindowsAuthentication,applicationbuilder,1,False,"Authentication, Security System",,"DevExpress.ExpressApp.Win.ApplicationBuilder.IMiddleTierAuthenticationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder.IMiddleTierAuthenticationBuilderdescription, DevExpress.ExpressApp.Win.ApplicationBuilder.MiddleTierAuthenticationBuilderExtensions.UseWindowsAuthentication"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/MiddleTierSecurityExtensions/UseMiddleTierMode,applicationbuilder,1,False,"Actions, Security System, XPO",,"DevExpress.ExpressApp.ApplicationBuilder.MiddleTierSecurityOptions, DevExpress.ExpressApp.Security.SecurityModuleOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.IMiddleTierAuthenticationBuilderdescription"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/MiddleTierSecurityExtensions/UseMiddleTierMode,applicationbuilder,1,False,,,"DevExpress.ExpressApp.ApplicationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/NotificationsApplicationBuilderExtensions/AddNotifications,applicationbuilder,1,False,"Actions, Notifications",,"DevExpress.ExpressApp.ApplicationBuilder.IModuleBuilder, DevExpress.ExpressApp.Notifications.Win.NotificationsOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/OfficeApplicationBuilderExtensions/AddOffice,applicationbuilder,1,False,Actions,,"DevExpress.ExpressApp.ApplicationBuilder.IModuleBuilder, DevExpress.ExpressApp.Office.Win.OfficeOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/PivotGridApplicationBuilderExtensions/AddPivotGrid,applicationbuilder,1,False,,,"DevExpress.ExpressApp.ApplicationBuilder.IModuleBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinApplicationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder.PivotGridApplicationBuilderExtensions.AddPivotGrid"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/PivotGridApplicationBuilderExtensions/AddPivotGrid,applicationbuilder,1,False,Modules,,"DevExpress.ExpressApp.ApplicationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/ReportsApplicationBuilderExtensions/AddReports,applicationbuilder,1,False,"Actions, Reports, Reports V2",,"DevExpress.ExpressApp.ApplicationBuilder.IModuleBuilder, DevExpress.ExpressApp.ReportsV2.Win.ReportsOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/SchedulerApplicationBuilderExtensions/AddScheduler,applicationbuilder,1,False,"Actions, Scheduler",,"DevExpress.ExpressApp.ApplicationBuilder.IModuleBuilder, DevExpress.ExpressApp.Scheduler.Win.SchedulerOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/TreeListEditorsApplicationBuilderExtensions/AddTreeListEditors,applicationbuilder,1,False,"Actions, List Editors, Tree List",,"DevExpress.ExpressApp.ApplicationBuilder.IModuleBuilder, DevExpress.ExpressApp.TreeListEditors.Win.TreeListEditorOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/ValidationApplicationBuilderExtensions/AddValidation,applicationbuilder,1,False,"Actions, Validation",,"DevExpress.ExpressApp.ApplicationBuilder.IModuleBuilder, DevExpress.ExpressApp.Validation.ValidationModuleOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/ValidationApplicationBuilderExtensions/AddValidation,applicationbuilder,1,False,Modules,,"DevExpress.ExpressApp.ApplicationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/WinAuthenticationBuilderExtensions/UseExternalAuthentication``1,applicationbuilder,1,False,"Authentication, Security System, WinForms",,"DevExpress.ExpressApp.Win.ApplicationBuilder.IWinAuthenticationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinAuthenticationBuilderdescription, DevExpress.ExpressApp.Win.ApplicationBuilder.WinAuthenticationBuilderExtensions.UseExternalAuthentication"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/WinSecurityBuilderExtensions/UsePasswordAuthentication,applicationbuilder,1,False,"Actions, Authentication, Security System",,"DevExpress.ExpressApp.Security.AuthenticationStandardProviderOptions, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinAuthenticationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder.IWinAuthenticationBuilderdescription"
data/raw_md/apidoc/DevExpress.ExpressApp.Win.ApplicationBuilder/WinSecurityBuilderExtensions/UsePasswordAuthentication,applicationbuilder,1,False,,,"DevExpress.ExpressApp.ApplicationBuilder, DevExpress.ExpressApp.Win.ApplicationBuilder"
